Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,8,bundesliga,18,11,1,1,1,7,7,0,7,0,7,7,3.0,0,7,0,7,7,8,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,8,bundesliga,18,11,0,5,1,5,21,7,0,0,35,7,9.0,7,0,0,35,7,18,0,0,0,7,7,35,0.0,0,0,7,7,35,9.0,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,8,bundesliga,18,11,2,0,4,17,0,0,0,7,0,28,0.0,0,0,7,0,28,3,21,7,0,0,28,0,9.0,7,0,0,28,0,0.0,9.0,,
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,8,bundesliga,18,11,1,0,0,11,7,0,7,0,0,0,3.0,0,7,0,0,0,9,7,0,7,0,0,0,3.0,0,7,0,0,0,3.0,3.0,,
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,8,bundesliga,18,11,0,5,2,4,21,7,0,0,35,14,9.0,7,0,0,35,14,14,0,0,0,7,14,35,0.0,0,0,7,14,35,9.0,0.0,,
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,8,bundesliga,18,11,0,1,0,1,21,7,0,0,7,0,9.0,7,0,0,7,0,13,0,0,0,7,0,7,0.0,0,0,7,0,7,9.0,0.0,,
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,8,bundesliga,18,11,0,3,1,6,21,7,0,0,21,7,9.0,7,0,0,21,7,15,0,0,0,7,7,21,0.0,0,0,7,7,21,9.0,0.0,,
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,9,bundesliga,18,11,1,1,1,7,8,0,8,0,8,8,3.0,0,8,0,8,8,9,8,0,8,0,8,8,3.0,0,8,0,8,8,3.0,3.0,,
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,9,bundesliga,18,11,0,1,0,2,24,8,0,0,8,0,9.0,8,0,0,8,0,16,0,0,0,8,0,8,0.0,0,0,8,0,8,9.0,0.0,,
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,9,bundesliga,18,11,1,1,1,12,8,0,8,0,8,8,3.0,0,8,0,8,8,11,8,0,8,0,8,8,3.0,0,8,0,8,8,3.0,3.0,,
