Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,7,ligue_2,20,15,2,1,2,17,0,0,0,6,6,12,0.0,0,0,6,6,12,3,18,6,0,0,12,6,9.0,6,0,0,12,6,0.0,9.0,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,7,ligue_2,20,15,0,4,0,2,18,6,0,0,24,0,9.0,6,0,0,24,0,16,0,0,0,6,0,24,0.0,0,0,6,0,24,9.0,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,7,ligue_2,20,15,1,1,1,6,6,0,6,0,6,6,3.0,0,6,0,6,6,10,6,0,6,0,6,6,3.0,0,6,0,6,6,3.0,3.0,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,7,ligue_2,20,15,2,0,4,19,0,0,0,6,0,24,0.0,0,0,6,0,24,1,18,6,0,0,24,0,9.0,6,0,0,24,0,0.0,9.0,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,7,ligue_2,20,15,1,0,0,11,6,0,6,0,0,0,3.0,0,6,0,0,0,14,6,0,6,0,0,0,3.0,0,6,0,0,0,3.0,3.0,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,7,ligue_2,20,15,0,2,1,5,18,6,0,0,12,6,9.0,6,0,0,12,6,18,0,0,0,6,6,12,0.0,0,0,6,6,12,9.0,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,7,ligue_2,20,15,1,2,2,15,6,0,6,0,12,12,3.0,0,6,0,12,12,8,6,0,6,0,12,12,3.0,0,6,0,12,12,3.0,3.0,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,7,ligue_2,20,15,1,0,0,7,6,0,6,0,0,0,3.0,0,6,0,0,0,12,6,0,6,0,0,0,3.0,0,6,0,0,0,3.0,3.0,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,7,ligue_2,20,15,2,1,3,20,0,0,0,6,6,18,0.0,0,0,6,6,18,4,18,6,0,0,18,6,9.0,6,0,0,18,6,0.0,9.0,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,8,ligue_2,20,15,1,1,1,12,7,0,7,0,7,7,3.0,0,7,0,7,7,8,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,8,ligue_2,20,15,2,1,2,17,0,0,0,7,7,14,0.0,0,0,7,7,14,3,21,7,0,0,14,7,9.0,7,0,0,14,7,0.0,9.0,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,8,ligue_2,20,15,0,4,0,2,21,7,0,0,28,0,9.0,7,0,0,28,0,16,0,0,0,7,0,28,0.0,0,0,7,0,28,9.0,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,8,ligue_2,20,15,1,1,1,15,7,0,7,0,7,7,3.0,0,7,0,7,7,11,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,8,ligue_2,20,15,2,0,4,19,0,0,0,7,0,28,0.0,0,0,7,0,28,1,21,7,0,0,28,0,9.0,7,0,0,28,0,0.0,9.0,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,8,ligue_2,20,15,1,0,0,10,7,0,7,0,0,0,3.0,0,7,0,0,0,7,7,0,7,0,0,0,3.0,0,7,0,0,0,3.0,3.0,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,8,ligue_2,20,15,0,2,1,5,21,7,0,0,14,7,9.0,7,0,0,14,7,18,0,0,0,7,7,14,0.0,0,0,7,7,14,9.0,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,8,ligue_2,20,15,1,2,2,6,7,0,7,0,14,14,3.0,0,7,0,14,14,13,7,0,7,0,14,14,3.0,0,7,0,14,14,3.0,3.0,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,8,ligue_2,20,15,1,0,0,14,7,0,7,0,0,0,3.0,0,7,0,0,0,9,7,0,7,0,0,0,3.0,0,7,0,0,0,3.0,3.0,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,8,ligue_2,20,15,2,1,3,20,0,0,0,7,7,21,0.0,0,0,7,7,21,4,21,7,0,0,21,7,9.0,7,0,0,21,7,0.0,9.0,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,9,ligue_2,20,15,1,1,1,9,8,0,8,0,8,8,3.0,0,8,0,8,8,13,8,0,8,0,8,8,3.0,0,8,0,8,8,3.0,3.0,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,9,ligue_2,20,15,2,1,2,17,0,0,0,8,8,16,0.0,0,0,8,8,16,3,24,8,0,0,16,8,9.0,8,0,0,16,8,0.0,9.0,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,9,ligue_2,20,15,0,4,0,2,24,8,0,0,32,0,9.0,8,0,0,32,0,16,0,0,0,8,0,32,0.0,0,0,8,0,32,9.0,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,9,ligue_2,20,15,1,1,1,6,8,0,8,0,8,8,3.0,0,8,0,8,8,10,8,0,8,0,8,8,3.0,0,8,0,8,8,3.0,3.0,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,9,ligue_2,20,15,2,0,4,19,0,0,0,8,0,32,0.0,0,0,8,0,32,1,24,8,0,0,32,0,9.0,8,0,0,32,0,0.0,9.0,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,9,ligue_2,20,15,1,0,0,11,8,0,8,0,0,0,3.0,0,8,0,0,0,14,8,0,8,0,0,0,3.0,0,8,0,0,0,3.0,3.0,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,9,ligue_2,20,15,0,2,1,5,24,8,0,0,16,8,9.0,8,0,0,16,8,18,0,0,0,8,8,16,0.0,0,0,8,8,16,9.0,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,9,ligue_2,20,15,1,2,2,15,8,0,8,0,16,16,3.0,0,8,0,16,16,8,8,0,8,0,16,16,3.0,0,8,0,16,16,3.0,3.0,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,9,ligue_2,20,15,1,0,0,7,8,0,8,0,0,0,3.0,0,8,0,0,0,12,8,0,8,0,0,0,3.0,0,8,0,0,0,3.0,3.0,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,9,ligue_2,20,15,2,1,3,20,0,0,0,8,8,24,0.0,0,0,8,8,24,4,24,8,0,0,24,8,9.0,8,0,0,24,8,0.0,9.0,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,10,ligue_2,20,15,1,1,1,12,9,0,9,0,9,9,3.0,0,9,0,9,9,8,9,0,9,0,9,9,3.0,0,9,0,9,9,3.0,3.0,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,10,ligue_2,20,15,2,1,2,17,0,0,0,9,9,18,0.0,0,0,9,9,18,3,27,9,0,0,18,9,9.0,9,0,0,18,9,0.0,9.0,,
