Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,8,segunda_liga,18,11,2,0,2,16,0,0,0,7,0,14,0.0,0,0,7,0,14,1,21,7,0,0,14,0,9.0,7,0,0,14,0,0.0,9.0,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,8,segunda_liga,18,11,0,5,1,2,21,7,0,0,35,7,9.0,7,0,0,35,7,15,0,0,0,7,7,35,0.0,0,0,7,7,35,9.0,0.0,,
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,8,segunda_liga,18,11,0,5,0,6,21,7,0,0,35,0,9.0,7,0,0,35,0,14,0,0,0,7,0,35,0.0,0,0,7,0,35,9.0,0.0,,
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,8,segunda_liga,18,11,2,0,1,18,0,0,0,7,0,7,0.0,0,0,7,0,7,3,21,7,0,0,7,0,9.0,7,0,0,7,0,0.0,9.0,,
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,8,segunda_liga,18,11,0,3,1,4,21,7,0,0,21,7,9.0,7,0,0,21,7,13,0,0,0,7,7,21,0.0,0,0,7,7,21,9.0,0.0,,
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,9,segunda_liga,18,11,0,2,1,5,24,8,0,0,16,8,9.0,8,0,0,16,8,17,0,0,0,8,8,16,0.0,0,0,8,8,16,9.0,0.0,,
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,9,segunda_liga,18,11,1,2,2,8,8,0,8,0,16,16,3.0,0,8,0,16,16,10,8,0,8,0,16,16,3.0,0,8,0,16,16,3.0,3.0,,
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,9,segunda_liga,18,11,1,2,2,9,8,0,8,0,16,16,3.0,0,8,0,16,16,11,8,0,8,0,16,16,3.0,0,8,0,16,16,3.0,3.0,,
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,9,segunda_liga,18,11,2,1,2,12,0,0,0,8,8,16,0.0,0,0,8,8,16,7,24,8,0,0,16,8,9.0,8,0,0,16,8,0.0,9.0,,
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,9,segunda_liga,18,11,2,0,2,16,0,0,0,8,0,16,0.0,0,0,8,0,16,1,24,8,0,0,16,0,9.0,8,0,0,16,0,0.0,9.0,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,9,segunda_liga,18,11,0,5,1,2,24,8,0,0,40,8,9.0,8,0,0,40,8,15,0,0,0,8,8,40,0.0,0,0,8,8,40,9.0,0.0,,
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,9,segunda_liga,18,11,0,5,0,6,24,8,0,0,40,0,9.0,8,0,0,40,0,14,0,0,0,8,0,40,0.0,0,0,8,0,40,9.0,0.0,,
